State,County,BeachID,BeachName,OwnAccess ,BeachLength,BeachTier,StartLatitude,StartLongitude,EndLatitude,EndLongitude
NY,WESTCHESTER,NY259438,MANURSING ISLAND CLUB,/,0.085,2,40.97008,-73.6602,40.97008,-73.6602
NY,WESTCHESTER,NY352572,DAVENPORT CLUB,/,0.017,2,40.8934,-73.7735,40.8934,-73.7735
NY,WESTCHESTER,NY397308,WESTCHESTER COUNTRY CLUB BEACH,/,0.057,1,40.971673,-73.66011,40.971673,-73.66011
NY,WESTCHESTER,NY411367,GLEN ISLAND PARK,/,1.88,1,40.881475,-73.766971,40.881475,-73.766971
NY,WESTCHESTER,NY452361,SURF CLUB,/,0.023,1,40.89644,-73.769713,40.89644,-73.769713
NY,WESTCHESTER,NY454053,RYE TOWN PARK - OAKLAND BEACH,/,0.284,1,40.959299,-73.679738,40.959299,-73.679738
NY,WESTCHESTER,NY466491,ORIENTA BEACH CLUB,/,0.028,1,40.93521,-73.724016,40.93521,-73.724016
NY,WESTCHESTER,NY485642,LARCHMONT MANOR PARK,/,0.028,1,40.91756,-73.745775,40.91756,-73.745775
NY,WESTCHESTER,NY603669,AMERICAN YACHT CLUB,/,0.657,2,40.941908,-73.694787,40.941908,-73.694787
NY,WESTCHESTER,NY629541,SHORE ACRES CLUB,/,0.169,1,40.943164,-73.726523,40.943164,-73.726523
NY,WESTCHESTER,NY653743,SHENOROCK SHORE CLUB,/,0.594,2,40.944606,-73.692513,40.944606,-73.692513
NY,WESTCHESTER,NY655241,RYE PLAYLAND BEACH,/,1.212,1,40.962659,-73.677878,40.962659,-73.677878
NY,WESTCHESTER,NY705603,LARCHMONT SHORE CLUB,/,0.034,1,40.91411,-73.7522,40.91411,-73.7522
NY,WESTCHESTER,NY847981,BEACH POINT CLUB,/,0.337,1,40.939444,-73.723605,40.939444,-73.723605
NY,WESTCHESTER,NY937940,HARBOR ISLAND BEACH,/,0.887,1,40.948172,-73.732338,40.948172,-73.732338
NY,WESTCHESTER,NY948448,COVELEIGH BEACH CLUB,/,0.028,2,40.94488,-73.629477,40.94488,-73.629477
NY,WESTCHESTER,NY958766,MAMARONECK BEACH AND CABANA CLUB,/,0.509,1,40.942872,-73.719978,40.942872,-73.719978
