StateCode,BeachID,BeachName,Station ID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,DetectionQuantitationLimit,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-09-09 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,16,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-09-06 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,776,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-08-23 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,8,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-08-11 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-08-09 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-08-04 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-08-02 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-28 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-23 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,20,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-21 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,124,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-19 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-14 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,48,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-12 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-07-07 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,16,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-30 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
