"SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"NY106799","VALLEY GROVE BEACH","NY","SUFFOLK","171","190","90.0","B-","141","152","92.76","B","30","38","78.95","D-"
"NY109767","SOUTHOLD BEACH","NY","SUFFOLK","70","78","89.74","B-","70","78","89.74","B-","0","0","",""
"NY113506","SHOREHAM BEACH","NY","SUFFOLK","114","115","99.13","A+","88","89","98.88","A","26","26","100.0","A+"
"NY133112","CRAB MEADOW BEACH","NY","SUFFOLK","177","186","95.16","A-","145","150","96.67","A-","32","36","88.89","C+"
"NY134025","EAGLE DOCK COMMUNITY BEACH","NY","SUFFOLK","179","195","91.79","B","142","156","91.03","B","37","39","94.87","B+"
"NY159807","MCCABE'S BEACH","NY","SUFFOLK","68","68","100.0","A+","68","68","100.0","A+","0","0","",""
"NY168522","GOLD STAR BATTALION BEACH","NY","SUFFOLK","197","211","93.36","B+","157","166","94.58","B+","40","45","88.89","C+"
"NY171464","LLOYD HARBOR VILLAGE PARK","NY","SUFFOLK","0","0","","","0","0","","","0","0","",""
"NY186000","ASHAROKEN BEACH","NY","SUFFOLK","186","210","88.57","C+","151","169","89.35","B-","35","41","85.37","C"
"NY238713","CEDAR BEACH - EAST (MT. SINAI)","NY","SUFFOLK","141","147","95.92","A-","101","105","96.19","A-","40","42","95.24","A-"
"NY260692","NATHAN HALE BEACH CLUB","NY","SUFFOLK","173","183","94.54","B+","139","145","95.86","A-","34","38","89.47","B-"
"NY267977","CAMP BAITING HOLLOW","NY","SUFFOLK","59","66","89.39","B-","44","48","91.67","B","15","18","83.33","C-"
"NY289627","STONY BROOK YACHT CLUB","NY","SUFFOLK","129","146","88.36","C+","90","99","90.91","B-","39","47","82.98","D+"
"NY301679","HUNTINGTON BEACH COMMUNITY ASSOC.","NY","SUFFOLK","193","221","87.33","C+","162","179","90.5","B-","31","42","73.81","F"
"NY339648","BELLE TERRE BEACH","NY","SUFFOLK","135","136","99.26","A+","92","92","100.0","A+","43","44","97.73","A"
"NY342581","SOUND BEACH POA - EAST","NY","SUFFOLK","0","0","","","0","0","","","0","0","",""
"NY344249","FRIENDSHIP DRIVE BEACH","NY","SUFFOLK","128","140","91.43","B","97","100","97.0","A","31","40","77.5","D-"
"NY370065","HEAD OF THE BAY CLUB","NY","SUFFOLK","0","0","","","0","0","","","0","0","",""
"NY375131","BAYVIEW BEACH","NY","SUFFOLK","85","90","94.44","B+","61","63","96.83","A-","24","27","88.89","C+"
"NY382589","SHORT BEACH","NY","SUFFOLK","134","138","97.1","A","92","95","96.84","A-","42","43","97.67","A"
"NY398255","PORT JEFFERSON BEACH - EAST","NY","SUFFOLK","102","102","100.0","A+","68","68","100.0","A+","34","34","100.0","A+"
"NY404494","LONG BEACH","NY","SUFFOLK","136","144","94.44","B+","92","95","96.84","A-","44","49","89.8","B-"
"NY406101","FLEETS COVE BEACH","NY","SUFFOLK","202","221","91.4","B","164","174","94.25","B+","38","47","80.85","D"
